name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Cmi dr nistor ovidiu,,dentist,,,,,,,Pecica,,,2578482302,nodes,21.065458,46.160447
Cabinet Medicina Dentara,,dentist,,,,,,,,,,4111714194,nodes,26.3507034,46.9356267
Yucca,,pharmacy,,pharmacy,,,,,,,,10208869259,nodes,25.970343,47.0891804
,,pharmacy,,pharmacy,,,,,,,,10208869258,nodes,25.9708168,47.0901338
Camin Spital,,hospital,,,,,,,,,,597210355,nodes,26.5557634,47.0851762
Farmacie,,pharmacy,,,,,,,,,,6452628389,nodes,26.5524813,47.1152531
,,pharmacy,,,,,,,,,,4448986688,nodes,26.294828,47.8337293
,,pharmacy,,,,,,,,,,1211195084,nodes,26.633621,47.5785713
Novofarm,,pharmacy,,pharmacy,,,,,,,,913166486,nodes,24.584221,46.5356772
Dr. Max,,pharmacy,,pharmacy,,,,,Targu Mures,,,526427406,nodes,24.5838806,46.5351309
Policlinica Bistrita,,hospital,,,,,,,,,,265543190,nodes,24.4880897,47.1314845
Sensiblu,,pharmacy,,,,,,,,,,1311502532,nodes,24.4867467,47.1322261
SYS DENTAL,,dentist,,dentist,general,,,,Bistrita,,,7670897981,nodes,24.4947646,47.1335758
Catena,,pharmacy,,,,,,,,,,2002646378,nodes,24.5065537,47.1414042
Magistra Farm,,pharmacy,,pharmacy,,,,,Darabani,,,3001950860,nodes,26.5918659,48.1872868
S.C Mitzura,,pharmacy,,,,,,,Darabani,,,3002120379,nodes,26.5966745,48.1858901
Psihiatrie Cronici,,hospital,,hospital,,,,,,,Psihiatrie Cronici,4659622889,nodes,26.0680758,47.9511784
Dispensarul comunei Ciprian Porumbescu,,hospital,,hospital,,,,,,,,3407441497,nodes,26.0622879,47.5684564
Farmacie,,pharmacy,,,,,,,,,,4479114020,nodes,25.9951487,47.6679825
Herba Farm,,pharmacy,,,,,,,,,,1565488346,nodes,26.723832,47.2535143
Catena,,pharmacy,,,,,,,,,,1565488334,nodes,26.723242,47.2536745
Spitalul municipal Falticeni,,hospital,,,,,,,,,,1657651045,nodes,26.2957182,47.4612254
Maternitatea Falticeni,,hospital,,,,,,,,,,1621474461,nodes,26.3009784,47.4638624
,,pharmacy,,,,,,,,,,1948764707,nodes,26.3015349,47.4597133
Catena,,pharmacy,,pharmacy,,,,,,,,1140855035,nodes,26.726843,47.243852
Remedio,,pharmacy,,,,,,,,,,3735596874,nodes,26.2424215,47.6452834
